Sunpetal Grove (XLN),Price - In,# Bought,# Left,Total,Current,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,,,,,,,
Shefet Dunes,0.002,160,0,0.32,0.00,0.06,28,1.68,1.624,2900%,0.05,4,0.2,0.192,2400%,0.15,68,10.2,10.064,7400%,0.14,28,3.92,3.864,6900%,0.13,32,4.16,4.096,6400%,,,,,,,
Shefet Dunes,0.002,36,0,0.07,0.00,0.18,8,1.44,1.424,8900%,0.204,8,1.632,1.616,10100%,0.1615,8,1.292,1.276,7975%,0.27,8,2.16,2.144,13400%,0.26,4,1.04,1.032,12900%,,,,,,,
Shefet Dunes,0.002,116,0,0.23,0.00,0.12,16,1.92,1.888,5900%,0.16,36,5.76,5.688,7900%,0.17,44,7.48,7.392,8400%,0.1785,8,1.428,1.412,8825%,0.19,12,2.28,2.256,9400%,,,,,,,
Sheltered Thicket,1.79,4,0,7.16,0.00,2.0246,4,8.0984,0.9384,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.69,4,0,6.76,0.00,2.39,4,9.56,2.8,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.62,8,8,12.96,12.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.58,12,0,18.96,0.00,2.39,4,9.56,3.24,51%,2.6072,5,13.036,5.136,65%,2.674,3,8.022,3.282,69%,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.51,4,4,6.04,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.45,16,16,23.20,23.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.42,8,8,11.36,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.39,4,4,5.56,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.38,8,0,11.04,0.00,1.88,4,7.52,2,36%,1.87,4,7.48,1.96,36%,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.35,4,0,5.40,0.00,1.9673,2,3.9346,1.2346,46%,2.15,2,4.3,1.6,59%,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.33,4,4,5.32,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.3,8,0,10.40,0.00,1.521,8,12.168,1.768,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.29,4,0,5.16,0.00,2.15,2,4.3,1.72,67%,2.09,2,4.18,1.6,62%,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.25,8,0,10.00,0.00,1.422,6,8.532,1.032,14%,1.39,2,2.78,0.28,11%,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.17,8,0,9.36,0.00,1.737,8,13.896,4.536,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.16,4,0,4.64,0.00,1.21,4,4.84,0.2,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.15,4,0,4.60,0.00,2.09,4,8.36,3.76,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,1.06,4,0,4.24,0.00,1.62,4,6.48,2.24,53%,,,,,,,,,,,,,,,,,,,,,,74.6152,,,,,
Sheltered Thicket,1.04,20,0,20.80,0.00,1.61,8,12.88,4.56,55%,1.2,4,4.8,0.64,15%,1.215,8,9.72,1.4,17%,,,,,,,,,,,,,,,,,
Sheltered Thicket,1,8,0,8.00,0.00,2.0246,4,8.0984,4.0984,102%,1.72,4,6.88,2.88,72%,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.99,12,0,11.88,0.00,1.557,7,10.899,3.969,57%,2.09,2,4.18,2.2,111%,2.2156,3,6.6468,3.6768,124%,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.97,4,0,3.88,0.00,1.413,4,5.652,1.772,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.95,8,8,7.60,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.94,8,8,7.52,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.92,4,4,3.68,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.91,8,8,7.28,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.88,16,12,14.08,10.56,1.413,4,5.652,2.132,61%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.84,4,0,3.36,0.00,1.71,4,6.84,3.48,104%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.83,4,4,3.32,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.59,4,0,2.36,0.00,1.71,4,6.84,4.48,190%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltered Thicket,0.51,12,12,6.12,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheltering Light,0.002,100,84,0.20,0.17,0.034,16,0.544,0.512,1600%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivan Reef,0.77,4,2,3.08,1.54,2.86,2,5.72,4.18,271%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivan Reef,0.26,8,0,2.08,0.00,0.722,8,5.776,3.696,178%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrieking Affliction,0.009,12,12,0.11,0.11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrine of the Forsake Gods,0.05,4,4,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrine of the Forsake Gods,0.01,16,0,0.16,0.00,0.1,8,0.8,0.72,900%,0.1105,8,0.884,0.804,1005%,,,,,,,,,,,,,,,,,,,,,,
Sifter of Skulls,0.01,4,4,0.04,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigarda's Aid,0.03,8,0,0.24,0.00,0.05,8,0.4,0.16,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigarda's Aid,0.01,8,0,0.08,0.00,0.19,4,0.76,0.72,1800%,0.15,4,0.6,0.56,1400%,,,,,,,,,,,,,,,,,,,,,,
Sigarda's Aid,0.01,88,0,0.88,0.00,0.05,24,1.2,0.96,400%,0.0425,4,0.17,0.13,325%,0.017,32,0.544,0.224,70%,0.051,24,1.224,0.984,410%,0.04,4,0.16,0.12,300%,,,,,,,
Sigarda's Aid,0.01,56,0,0.56,0.00,0.085,8,0.68,0.6,750%,0.16,16,2.56,2.4,1500%,0.11,12,1.32,1.2,1000%,0.1,4,0.4,0.36,900%,0.237,16,3.792,3.632,2270%,,,,,,,
Sigarda's Aid,0.009,64,0,0.58,0.00,0.04,12,0.48,0.372,344%,0.03,16,0.48,0.336,233%,0.0255,24,0.612,0.396,183%,0.06,8,0.48,0.408,567%,0.07,4,0.28,0.244,678%,,,,,,,
"Sigarda, Heron's Grace",0.21,8,0,1.68,0.00,0.31,4,1.24,0.4,48%,0.46,4,1.84,1,119%,,,,,,,,,,,,,,,,,,,,,,
"Sigarda, Heron's Grace",0.2,4,0,0.80,0.00,0.4165,4,1.666,0.866,108%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sigarda, Heron's Grace",1.09,4,0,4.36,0.00,1.38,4,5.52,1.16,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silverfur Partisan,0.02,4,0,0.08,0.00,0.017,4,0.068,-0.012,-15%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silverfur Partisan,0.01,12,12,0.12,0.12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvergill Adept,0.002,40,24,0.08,0.05,0.051,8,0.408,0.392,2450%,0.0255,8,0.204,0.188,1175%,,,,,,,,,,,,,,,,,,,,,,
Simian Spirit Guide,0.42,16,8,6.72,3.36,0.6916,8,5.5328,2.1728,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simian Spirit Guide,0.31,8,8,2.48,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simian Spirit Guide,0.22,8,8,1.76,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sin Prodder,0.02,4,0,0.08,0.00,0.02,4,0.08,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sin Prodder,0.01,106,0,1.06,0.00,0.0255,6,0.153,0.093,155%,0.03,54,1.62,1.08,200%,0.0425,8,0.34,0.26,325%,0.04,24,0.96,0.72,300%,0.051,14,0.714,0.574,410%,,,,,,,
Sin Prodder,0.009,80,12,0.72,0.11,0.017,40,0.68,0.32,89%,0.02,28,0.56,0.308,122%,,,,,,,,,,,,,,,,,,,,,,
Siren Stormcaller,0.01,100,50,1.00,0.50,0.034,15,0.51,0.36,240%,0.0425,8,0.34,0.26,325%,0.0255,27,0.6885,0.4185,155%,,,,,,,,,,,,,,,,,
Skymarch Aspirant,0.02,8,8,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyship Stalker,0.009,8,8,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skysovereign, Consul Flagship",3.11,4,0,12.44,0.00,2.8268,4,11.3072,-1.1328,-9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skysovereign, Consul Flagship",1.56,4,0,6.24,0.00,3.7818,4,15.1272,8.8872,142%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skysovereign, Consul Flagship",0.95,8,8,7.60,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skysovereign, Consul Flagship",0.94,8,8,7.52,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skysovereign, Consul Flagship",0.92,4,4,3.68,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skysovereign, Consul Flagship",0.44,8,8,3.52,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skysovereign, Consul Flagship",0.32,4,4,1.28,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skysovereign, Consul Flagship",0.29,12,12,3.48,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skywhaler's Shot,0.005,24,24,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slaughter Pact,1.39,2,2,2.78,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slayer's Plate,0.01,8,8,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Pox,0.009,26,26,0.23,0.23,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smuggler's Copter,0.35,8,0,2.80,0.00,0.4675,8,3.74,0.94,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smuggler's Copter,0.31,8,0,2.48,0.00,0.36,8,2.88,0.4,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smuggler's Copter,0.29,8,0,2.32,0.00,0.45,8,3.6,1.28,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smuggler's Copter,0.17,4,0,0.68,0.00,0.391,4,1.564,0.884,130%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smuggler's Copter,0.16,8,0,1.28,0.00,0.58,4,2.32,1.68,263%,0.6545,4,2.618,1.978,309%,,,,,,,,,,,,,,,,,,,,,,
Smuggler's Copter,0.15,4,0,0.60,0.00,0.391,3,1.173,0.723,161%,0.4,1,0.4,0.25,167%,,,,,,,,,,,,,,,,,,,,,,
Snapcaster Mage,14.31,2,2,28.62,28.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solemnity,0.26,4,4,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solemnity,0.23,8,8,1.84,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solemnity,0.2,12,12,2.40,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solemnity,0.12,12,12,1.44,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solemnity,0.1,8,8,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solemnity,0.09,8,8,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sol Ring,1.2,1,1,1.20,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorcerous Spyglass,0.15,8,8,1.20,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorcerous Spyglass,0.1,4,4,0.40,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorin, Grim Nemesis",1.84,1,0,1.84,0.00,2.68,1,2.68,0.84,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.36,4,0,1.44,0.00,0.66,4,2.64,1.2,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.28,8,0,2.24,0.00,0.65,4,2.6,1.48,132%,0.94,4,3.76,2.64,236%,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.26,12,0,3.12,0.00,0.748,4,2.992,1.952,188%,0.71,8,5.68,3.6,173%,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.25,4,0,1.00,0.00,0.7,4,2.8,1.8,180%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.24,8,0,1.92,0.00,0.3,8,2.4,0.48,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.23,4,0,0.92,0.00,0.29,4,1.16,0.24,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.22,8,0,1.76,0.00,0.84,4,3.36,2.48,282%,0.7055,4,2.822,1.942,221%,,,,,,,,,,,,,,,,,,58.7235,,,,
Soul-Scar Mage,0.2,4,0,0.80,0.00,0.748,3,2.244,1.644,274%,0.71,1,0.71,0.51,255%,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.19,8,0,1.52,0.00,0.77,8,6.16,4.64,305%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.18,8,0,1.44,0.00,0.77,4,3.08,2.36,328%,0.76,4,3.04,2.32,322%,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.17,4,4,0.68,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.15,8,8,1.20,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.13,16,8,2.08,1.04,0.29,8,2.32,1.28,123%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.12,4,0,0.48,0.00,0.7565,3,2.2695,1.9095,530%,0.76,1,0.76,0.64,533%,,,,,,,,,,,,,,,,,,,,,,
Soul-Scar Mage,0.11,12,0,1.32,0.00,0.76,4,3.04,2.6,591%,0.42,4,1.68,1.24,282%,0.8265,2,1.653,1.433,651%,0.83,2,1.66,1.44,655%,,,,,,,,,,,,
Soul-Scar Mage,0.09,28,0,2.52,0.00,0.43,8,3.44,2.72,378%,0.45,4,1.8,1.44,400%,0.493,2,0.986,0.806,448%,0.57,8,4.56,3.84,533%,0.8245,6,4.947,4.407,816%,,,,,,,
Soul-Scar Mage,0.08,8,0,0.64,0.00,0.79,8,6.32,5.68,888%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Separator,0.01,12,12,0.12,0.12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Separator - Foil,0.03,1,1,0.03,0.03,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Swallower,0.01,8,4,0.08,0.04,0.017,4,0.068,0.028,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul Swallower,0.009,4,4,0.04,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial Contortion,0.01,8,0,0.08,0.00,0.015,8,0.12,0.04,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial Contortion,0.005,28,11,0.14,0.06,0.015,2,0.03,0.02,200%,0.02,7,0.14,0.105,300%,0.035,4,0.14,0.12,600%,0.11,4,0.44,0.42,2100%,,,,,,,,,,,,
Spawnsire of Ulamog,0.02,8,8,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spawnsire of Ulamog,0.01,10,10,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Pierce,0.002,50,30,0.10,0.06,0.03,20,0.6,0.56,1400%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Snare,1.57,2,2,3.14,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Snare,0.93,2,2,1.86,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Swindle,0.1,8,8,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Swindle,0.09,4,4,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Swindle,0.05,12,12,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Swindle,0.04,8,8,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphere of Resistance (VMA),0.22,4,4,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphere of Resistance (VMA),0.2,8,8,1.60,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphere of Resistance (VMA),0.06,4,0,0.24,0.00,0.38,4,1.52,1.28,533%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphere of Resistance (VMA),0.05,4,0,0.20,0.00,0.38,4,1.52,1.32,660%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphinx's Tutelage,0.005,20,20,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spine of Ish Sah,0.09,4,4,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spire of Industry,1.98,4,0,7.92,0.00,2.44,4,9.76,1.84,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of the Hunt,0.01,16,0,0.16,0.00,0.017,16,0.272,0.112,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of the Labyrinth,0.05,4,4,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of the Labyrinth,0.06,4,4,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splendid Reclamation,0.13,2,0,0.26,0.00,0.1615,2,0.323,0.063,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splendid Reclamation,0.08,2,0,0.16,0.00,0.1615,2,0.323,0.163,102%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splendid Reclamation,0.09,2,0,0.18,0.00,0.1,2,0.2,0.02,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splendid Reclamation,0.07,4,0,0.28,0.00,0.1,4,0.4,0.12,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splendid Reclamation,0.05,8,0,0.40,0.00,0.1,2,0.2,0.1,100%,0.08,6,0.48,0.18,60%,,,,,,,,,,,,,,,,,,,,,,
Splendid Reclamation,0.03,8,0,0.24,0.00,0.08,2,0.16,0.1,167%,0.09,6,0.54,0.36,200%,,,,,,,,,,,,,,,,,,,,,,
Splendid Reclamation,0.01,50,0,0.50,0.00,0.09,10,0.9,0.8,800%,0.136,8,1.088,1.008,1260%,0.11,16,1.76,1.6,1000%,0.14,8,1.12,1.04,1300%,0.2465,8,1.972,1.892,2365%,,,,,,,
Splendid Reclamation,0.01,14,2,0.14,0.02,0.46,12,5.52,5.4,4500%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spoils of the Vault,0.77,4,4,3.08,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squadron Hawk,0.009,4,0,0.04,0.00,0.03,4,0.12,0.084,233%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sram, Senior Edificer",0.24,8,0,1.92,0.00,0.34,4,1.36,0.4,42%,0.255,4,1.02,0.06,6%,,,,,,,,,,,,,,,,,,,,,,
"Sram, Senior Edificer",0.2,4,0,0.80,0.00,0.255,4,1.02,0.22,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sram, Senior Edificer",0.18,4,0,0.72,0.00,0.43,4,1.72,1,139%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sram, Senior Edificer",0.13,4,0,0.52,0.00,0.42,4,1.68,1.16,223%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sram, Senior Edificer",0.1,4,0,0.40,0.00,0.63,4,2.52,2.12,530%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sram, Senior Edificer",0.09,4,0,0.36,0.00,0.5695,4,2.278,1.918,533%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.58,8,0,4.64,0.00,0.58,8,4.64,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.36,8,0,2.88,0.00,0.6,8,4.8,1.92,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.35,4,0,1.40,0.00,0.62,4,2.48,1.08,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.3,8,0,2.40,0.00,0.936,2,1.872,1.272,212%,0.86,2,1.72,1.12,187%,0.5525,4,2.21,1.01,84%,,,,,,,,,,,,,,,,,
Sram's Expertise,0.29,4,0,1.16,0.00,0.5525,4,2.21,1.05,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.27,8,0,2.16,0.00,0.61,4,2.44,1.36,126%,0.561,4,2.244,1.164,108%,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.26,4,0,1.04,0.00,0.561,4,2.244,1.204,116%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.23,4,0,0.92,0.00,0.6035,4,2.414,1.494,162%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.19,8,4,1.52,0.76,0.6035,4,2.414,1.654,218%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.18,4,4,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.16,28,28,4.48,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.15,12,12,1.80,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.14,12,4,1.68,0.56,0.85,8,6.8,5.68,507%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.13,8,8,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.12,8,8,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.09,16,16,1.44,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.08,4,4,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sram's Expertise,0.06,8,8,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standstill,1.55,4,0,6.20,0.00,3.79,4,15.16,8.96,145%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standstill,1.03,4,4,4.12,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Startled Awake,0.9,4,0,3.60,0.00,1.116,4,4.464,0.864,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Vents,3.15,1,0,3.15,0.00,4.368,1,4.368,1.218,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Vents,3.14,4,1,12.56,3.14,4.368,3,13.104,3.684,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Vents,3.08,1,1,3.08,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Vents,2.49,2,2,4.98,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steam Vents,2.01,4,0,8.04,0.00,4.59,4,18.36,10.32,128%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stitcher's Graft,0.01,101,0,1.01,0.00,0.017,45,0.765,0.315,70%,0.06,12,0.72,0.6,500%,0.14,20,2.8,2.6,1300%,0.13,16,2.08,1.92,1200%,0.16,8,1.28,1.2,1500%,,,,,,,
Stitcher's Graft,0.009,40,4,0.36,0.04,0.0425,8,0.34,0.268,372%,0.0765,8,0.612,0.54,750%,0.1,4,0.4,0.364,1011%,0.204,8,1.632,1.56,2167%,0.05,8,0.4,0.328,456%,,,,,,,
Stoneforge Mystic,2.51,2,0,5.02,0.00,3.48,2,6.96,1.94,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneforge Mystic,2.39,2,0,4.78,0.00,3.48,2,6.96,2.18,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneforge Mystic,1.76,8,4,14.08,7.04,3.44,4,13.76,6.72,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Quarry,0.005,12,12,0.06,0.06,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Silence,2.05,4,4,8.20,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stormchaser Mage,0.02,8,0,0.16,0.00,0.11,8,0.88,0.72,450%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stormchaser Mage,0.03,20,4,0.60,0.12,0.2295,8,1.836,1.596,665%,0.255,8,2.04,1.8,750%,,,,,,,,,,,,,,,,,,,,,,
Storm the Vault,0.04,4,4,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm the Vault,0.03,4,4,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm the Vault,0.02,8,8,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strip Mine,0.18,4,4,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stromkirk Condemned,0.03,4,0,0.12,0.00,0.03,4,0.12,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stromkirk Condemned,0.02,8,4,0.16,0.08,0.03,4,0.12,0.04,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stromkirk Condemned,0.01,80,0,0.80,0.00,0.017,36,0.612,0.252,70%,0.0255,16,0.408,0.248,155%,0.03,4,0.12,0.08,200%,0.02,8,0.16,0.08,100%,0.155,16,2.48,2.32,1450%,,,,,,,
Stromkirk Condemned,0.009,60,0,0.54,0.00,0.02,16,0.32,0.176,122%,0.15,12,1.8,1.692,1567%,0.14,8,1.12,1.048,1456%,0.12,4,0.48,0.444,1233%,0.174,20,3.48,3.3,1833%,,,,,,,
Stromkirk Condemned,0.009,12,8,0.11,0.07,0.18,4,0.72,0.684,1900%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stromkirk Occultist,0.01,100,20,1.00,0.20,0.017,40,0.68,0.28,70%,0.02,4,0.08,0.04,100%,0.0255,16,0.408,0.248,155%,0.07,20,1.4,1.2,600%,,,,,,,,,,,,
